Year,Station Code,State,Station Name,DO (mg/L),BOD (mg/L),FC (MPN/100ml),FS (MPN/100ml),pH
2020,10152,Uttar Pradesh,A/C Gomti River ( Bhusaula),8.3,3.2,8000,6300,8.5
2020,1073,Uttar Pradesh,Tarighat ( Ghazipur),7.4,3.8,13000,8500,8.4
2020,1074,Bihar,"Buxar, Chausa Karmnasa",9,1.6,22000,94,8.1
2020,10113,Bihar,"U/S Jail Ghat, Buxar ( A/C Thora River)",8.1,1.6,44500,220,8
2020,2551,Bihar,"Buxar, Ramrekhaghat",8.5,1.7,35000,77.5,8.1
2020,3113,Bihar,"Buxar D/S, Near Ganga Bridge",8.2,1.8,54000,195,8.1
2020,10162,Bihar,"Arrah-chapra Road Bridge, U/S Doriganj",8.5,1.7,13000,110,8.2
2020,2564,Bihar,"C/f Of Sone River at Doriganj, Chapra",7,1.7,22000,125,7.9
2020,10114,Bihar,"Maa Ambika Asthan, Doriganj D/S ( Saran)",8,1.7,22000,790,7.9
2020,3114,Bihar,"Danapur, Near Pipapul",8.3,1.5,2600,2722.5,8.1
2020,1077,Bihar,"Kurji at Digha Ghat, U/S Patna",7.7,1.6,23000,300,8.1
2020,2552,Bihar,Nit Ghandhi Ghat ( Patna),7,1.9,92000,3500,7.9
2020,10115,Bihar,Gulbi Ghat ( Patna),7,1.9,160000,1400,7.9
2020,1079,Bihar,Patna D/S ( Ganga Bridge),7,1.9,35000,1700,7.9
2020,3122,Bihar,Malsalami ( Patna),8.8,1.6,11000,1450,8.1
2020,4297,Bihar,"Ganga at Kachchi-dargah-bidupur Road Bridge, Patna",7.8,1.9,20500,490,8
2020,10122,Bihar,"Triveni Ghat, B/C Of River Punpun",7.1,1.9,11000,270,7.9
2020,2553,Bihar,"Fatuha, A/C Of River Punpun",6.3,2.1,22000,400,7.9
2020,4301,Bihar,"Bakhyiyarpur-tajpur Bridge On Ganga, athmagola, Patna",7.9,1.8,35000,110,7.9
2020,3115,Bihar,"Barh, Near Umanath Temple",6.9,1.8,17000,335,7.8
2020,10130,Bihar,Nawadaghat D/S ( Water Intake Of Ntpc) Barh,7.5,1.7,13000,140,8
2020,10131,Bihar,U/S Barahpur Bindtoli,8.1,1.9,19500,270,8
2020,1817,Bihar,U/S Mokama,7.7,1.7,35000,5400,7.9
2020,1815,Bihar,Mokama D/S ( D/S Rajendra Bridge),7.1,1.7,11000,124,8
2020,3123,Bihar,Barahia,7.6,1.9,7450,27,8
2020,3116,Bihar,U/S Munger,7.7,1.8,53000,45,7.9
2020,1818,Bihar,Munger,7.4,1.9,63500,20,7.9
2020,3117,Bihar,U/S Sultanganj,7.5,1.7,54000,40,7.9
2020,2554,Bihar,Sultanganj ( Bhagalpur),8.1,1.8,73000,110,7.9
2020,4398,Bihar,"Water Intake Point, Bhagalpur",7.1,2,160000,3550,7.7
2020,10138,Bihar,Champanagar,6.4,1.9,22000,330,7.8
2020,1819,Bihar,Bhagalpur,7,1.7,26000,20,7.9
2020,3118,Bihar,U/S Bhagalpur,6.3,2,160000,1700,7.7
2020,1816,Bihar,Kahalgaon,9.2,1.9,24000,154,7.9
2020,10143,Bihar,"Kahalgaon D/S, Near Cremation Ghat",9,1.5,17000,42.5,7.9
2020,10144,Jharkhand,U/S Neara Lct Ghat,8.6,2.4,NA,NA,8.2
2020,10145,Jharkhand,Near Janta Ghat D/S,8.4,2.6,NA,NA,7.8
2020,1059,Jharkhand,Rajmahal,8.4,1.6,NA,NA,7.8
2020,10146,Jharkhand,Sangi Dalan,8.6,1.8,NA,NA,8.1
2020,10159,West Bengal,"Khagra, Beharampore",7.4,2.6,49000,490,8.1
2020,1080,West Bengal,Beharampore,6.8,2.6,79000,800,8
2020,10160,West Bengal,"Gorabazar, Behrampore",7.3,2.4,23000,600,8
2020,2511,West Bengal,"Nabadip,ghoshpara Near Monipurghat",6.6,2.8,30000,280,8
2020,2506,West Bengal,"Tribeni, Near Burning Ghat",6.4,3.1,17000,800,8
2020,10161,West Bengal,"Shitalatala, Palta",5.7,3.4,110000,1700,8
2020,1054,West Bengal,Palta,6,2.8,26000,795,8.1
2020,1472,West Bengal,Serampore,5.6,2.8,23000,600,8
2020,1053,West Bengal,Dakshineshwar,6.1,3.5,80000,155,7.7
2020,1470,West Bengal,Garden Reach,5.2,2.6,70000,101,7.4
2020,1471,West Bengal,Shivpur ( Howrah),5.2,2.8,70000,150,7.3
2020,1052,West Bengal,Uluberia,5.7,2.2,17000,84.5,7.5
2020,1469,West Bengal,Diamond Harbour,6.3,2.2,7000,40,7.4
2020,1335,West Bengal,Ganga at Patikali Near Durga Chak,7,1.6,1750,125,7.6
